"route","audience_intent","cta_copy","position","target","solution","funnel_stage","target_type","resolved_url","strength"
"/products/photo-curator/connectors/","Declared page intent; confirm against editorial brief.","Ready to move Discuss a connector Use the relevant intake or engagement route.","enterprise-cta-option","/contact/media-management/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/media-management/","strong"
"/products/photo-curator/connectors/","Declared page intent; confirm against editorial brief.","Review compatibility principles ↗","text-link","/methods/collection-to-intelligence/","Research or method path","early-stage","internal","https://hardmagic.com/methods/collection-to-intelligence/","strong"
"/products/photo-curator/connectors/","Declared page intent; confirm against editorial brief.","Still framing the question Review compatibility principles Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/collection-to-intelligence/","Research or method path","early-stage","internal","https://hardmagic.com/methods/collection-to-intelligence/","strong"
"/products/photo-curator/connectors/","Declared page intent; confirm against editorial brief.","Discuss a connector","button dark-button","/contact/media-management/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/media-management/","strong"
"/products/photo-curator/duplicates/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/photo-curator/duplicates/","Declared page intent; confirm against editorial brief.","Learn the grouping model ↗","text-link","/methods/collection-to-intelligence/","Research or method path","early-stage","internal","https://hardmagic.com/methods/collection-to-intelligence/","strong"
"/products/photo-curator/duplicates/","Declared page intent; confirm against editorial brief.","Ready to move Evaluate a collection Use the relevant intake or engagement route.","enterprise-cta-option","/contact/media-management/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/media-management/","strong"
"/products/photo-curator/duplicates/","Declared page intent; confirm against editorial brief.","Still framing the question Learn the grouping model Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/collection-to-intelligence/","Research or method path","early-stage","internal","https://hardmagic.com/methods/collection-to-intelligence/","strong"
"/products/photo-curator/duplicates/","Declared page intent; confirm against editorial brief.","Evaluate a collection","button dark-button","/contact/media-management/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/media-management/","strong"
"/products/photo-curator/metadata/","Declared page intent; confirm against editorial brief.","Download the field map ↗","text-link","/insights/provenance-without-killing-creative-flow/","Research or method path","early-stage","internal","https://hardmagic.com/insights/provenance-without-killing-creative-flow/","strong"
"/products/photo-curator/metadata/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/photo-curator/metadata/","Declared page intent; confirm against editorial brief.","Ready to move Plan metadata strategy Use the relevant intake or engagement route.","enterprise-cta-option","/contact/media-management/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/media-management/","strong"
"/products/photo-curator/metadata/","Declared page intent; confirm against editorial brief.","Still framing the question Download the field map Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/insights/provenance-without-killing-creative-flow/","Research or method path","early-stage","internal","https://hardmagic.com/insights/provenance-without-killing-creative-flow/","strong"
"/products/photo-curator/metadata/","Declared page intent; confirm against editorial brief.","Plan metadata strategy","button dark-button","/contact/media-management/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/media-management/","strong"
"/products/photo-curator/review/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/photo-curator/review/","Declared page intent; confirm against editorial brief.","Read the curation guide ↗","text-link","/methods/collection-to-intelligence/","Research or method path","early-stage","internal","https://hardmagic.com/methods/collection-to-intelligence/","strong"
"/products/photo-curator/review/","Declared page intent; confirm against editorial brief.","Ready to move Design a review room Use the relevant intake or engagement route.","enterprise-cta-option","/contact/media-management/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/media-management/","strong"
"/products/photo-curator/review/","Declared page intent; confirm against editorial brief.","Still framing the question Read the curation guide Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/collection-to-intelligence/","Research or method path","early-stage","internal","https://hardmagic.com/methods/collection-to-intelligence/","strong"
"/products/photo-curator/review/","Declared page intent; confirm against editorial brief.","Design a review room","button dark-button","/contact/media-management/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/media-management/","strong"
"/products/studio/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/studio/","Declared page intent; confirm against editorial brief.","Inspect hybrid inference ↗","text-link","products/studio/hybrid-inference/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/studio/hybrid-inference/","strong"
"/products/studio/","Declared page intent; confirm against editorial brief.","See how Studio works","button light","products/studio/","Product-qualified evaluation","primary","internal","https://hardmagic.com/products/studio/","strong"
"/products/studio/","Declared page intent; confirm against editorial brief.","Talk with us","button dark-button","contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/products/studio/audio/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/studio/audio/","Declared page intent; confirm against editorial brief.","Ready to move Design an audio workflow Use the relevant intake or engagement route.","enterprise-cta-option","/contact/genai/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/genai/","strong"
"/products/studio/audio/","Declared page intent; confirm against editorial brief.","Review the creative-operations method ↗","text-link","/methods/human-agent-creative-loop/","Research or method path","early-stage","internal","https://hardmagic.com/methods/human-agent-creative-loop/","strong"
"/products/studio/audio/","Declared page intent; confirm against editorial brief.","Still framing the question Review the creative-operations method Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/human-agent-creative-loop/","Research or method path","early-stage","internal","https://hardmagic.com/methods/human-agent-creative-loop/","strong"
"/products/studio/audio/","Declared page intent; confirm against editorial brief.","Design an audio workflow","button dark-button","/contact/genai/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/genai/","strong"
"/products/studio/hybrid-inference/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/studio/hybrid-inference/","Declared page intent; confirm against editorial brief.","Read the hybrid-infrastructure brief ↗","text-link","/briefs/hybrid-ai-media-infrastructure/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/hybrid-ai-media-infrastructure/","strong"
"/products/studio/hybrid-inference/","Declared page intent; confirm against editorial brief.","Ready to move Review infrastructure needs Use the relevant intake or engagement route.","enterprise-cta-option","/contact/genai/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/genai/","strong"
"/products/studio/hybrid-inference/","Declared page intent; confirm against editorial brief.","Still framing the question Read the hybrid-infrastructure brief Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/briefs/hybrid-ai-media-infrastructure/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/hybrid-ai-media-infrastructure/","strong"
"/products/studio/hybrid-inference/","Declared page intent; confirm against editorial brief.","Review infrastructure needs","button dark-button","/contact/genai/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/genai/","strong"
"/products/studio/image/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/studio/image/","Declared page intent; confirm against editorial brief.","Ready to move Plan an image workflow Use the relevant intake or engagement route.","enterprise-cta-option","/contact/genai/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/genai/","strong"
"/products/studio/image/","Declared page intent; confirm against editorial brief.","Review direction principles ↗","text-link","/insights/creative-direction-after-model-abundance/","Research or method path","early-stage","internal","https://hardmagic.com/insights/creative-direction-after-model-abundance/","strong"
"/products/studio/image/","Declared page intent; confirm against editorial brief.","Still framing the question Review direction principles Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/insights/creative-direction-after-model-abundance/","Research or method path","early-stage","internal","https://hardmagic.com/insights/creative-direction-after-model-abundance/","strong"
"/products/studio/image/","Declared page intent; confirm against editorial brief.","Plan an image workflow","button dark-button","/contact/genai/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/genai/","strong"
"/products/studio/video/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/studio/video/","Declared page intent; confirm against editorial brief.","Read the GenAI production essay ↗","text-link","/insights/from-prompting-to-production-systems/","Research or method path","early-stage","internal","https://hardmagic.com/insights/from-prompting-to-production-systems/","strong"
"/products/studio/video/","Declared page intent; confirm against editorial brief.","Ready to move Discuss video production Use the relevant intake or engagement route.","enterprise-cta-option","/contact/genai/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/genai/","strong"
"/products/studio/video/","Declared page intent; confirm against editorial brief.","Still framing the question Read the GenAI production essay Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/insights/from-prompting-to-production-systems/","Research or method path","early-stage","internal","https://hardmagic.com/insights/from-prompting-to-production-systems/","strong"
"/products/studio/video/","Declared page intent; confirm against editorial brief.","Discuss video production","button dark-button","/contact/genai/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/genai/","strong"
"/products/web-magic/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/web-magic/","Declared page intent; confirm against editorial brief.","Talk with us","button dark-button","contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/products/web-magic/accessibility/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/web-magic/accessibility/","Declared page intent; confirm against editorial brief.","Ready to move Request a Web Magic accessibility audit Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/web-magic/accessibility/","Declared page intent; confirm against editorial brief.","Still framing the question Use the accessibility method Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/accessibility-as-editorial/","Research or method path","early-stage","internal","https://hardmagic.com/methods/accessibility-as-editorial/","strong"
"/products/web-magic/accessibility/","Declared page intent; confirm against editorial brief.","Use the accessibility method ↗","text-link","/methods/accessibility-as-editorial/","Research or method path","early-stage","internal","https://hardmagic.com/methods/accessibility-as-editorial/","strong"
"/products/web-magic/accessibility/","Declared page intent; confirm against editorial brief.","Request a Web Magic accessibility audit","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/products/web-magic/delivery/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/web-magic/delivery/","Declared page intent; confirm against editorial brief.","Ready to move Discuss Web Magic delivery gates Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/web-magic/delivery/","Declared page intent; confirm against editorial brief.","Still framing the question Use the evidence loop Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/evidence-loop/","Research or method path","early-stage","internal","https://hardmagic.com/methods/evidence-loop/","strong"
"/products/web-magic/delivery/","Declared page intent; confirm against editorial brief.","Use the evidence loop ↗","text-link","/methods/evidence-loop/","Research or method path","early-stage","internal","https://hardmagic.com/methods/evidence-loop/","strong"
"/products/web-magic/delivery/","Declared page intent; confirm against editorial brief.","Discuss Web Magic delivery gates","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/products/web-magic/performance/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/web-magic/performance/","Declared page intent; confirm against editorial brief.","Read the static-publishing essay ↗","text-link","/insights/static-websites-as-durable-media/","Research or method path","early-stage","internal","https://hardmagic.com/insights/static-websites-as-durable-media/","strong"
"/products/web-magic/performance/","Declared page intent; confirm against editorial brief.","Ready to move Discuss a Web Magic performance benchmark Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/web-magic/performance/","Declared page intent; confirm against editorial brief.","Still framing the question Read the static-publishing essay Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/insights/static-websites-as-durable-media/","Research or method path","early-stage","internal","https://hardmagic.com/insights/static-websites-as-durable-media/","strong"
"/products/web-magic/performance/","Declared page intent; confirm against editorial brief.","Discuss a Web Magic performance benchmark","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/products/web-magic/seo/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/web-magic/seo/","Declared page intent; confirm against editorial brief.","Read the static-publishing essay ↗","text-link","/insights/static-websites-as-durable-media/","Research or method path","early-stage","internal","https://hardmagic.com/insights/static-websites-as-durable-media/","strong"
"/products/web-magic/seo/","Declared page intent; confirm against editorial brief.","Ready to move Discuss Web Magic search architecture Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/web-magic/seo/","Declared page intent; confirm against editorial brief.","Still framing the question Read the static-publishing essay Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/insights/static-websites-as-durable-media/","Research or method path","early-stage","internal","https://hardmagic.com/insights/static-websites-as-durable-media/","strong"
"/products/web-magic/seo/","Declared page intent; confirm against editorial brief.","Discuss Web Magic search architecture","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/products/wiremark/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/wiremark/","Declared page intent; confirm against editorial brief.","Enter WireMark","button light","products/wiremark/","Product-qualified evaluation","primary","internal","https://hardmagic.com/products/wiremark/","strong"
"/products/wiremark/","Declared page intent; confirm against editorial brief.","Talk with us","button dark-button","contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/products/wiremark/agent-handoff/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/wiremark/agent-handoff/","Declared page intent; confirm against editorial brief.","Ready to move Pilot an agent workflow Use the relevant intake or engagement route.","enterprise-cta-option","/contact/genai/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/genai/","strong"
"/products/wiremark/agent-handoff/","Declared page intent; confirm against editorial brief.","Still framing the question Use the human-agent method Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/human-agent-creative-loop/","Research or method path","early-stage","internal","https://hardmagic.com/methods/human-agent-creative-loop/","strong"
"/products/wiremark/agent-handoff/","Declared page intent; confirm against editorial brief.","Use the human-agent method ↗","text-link","/methods/human-agent-creative-loop/","Research or method path","early-stage","internal","https://hardmagic.com/methods/human-agent-creative-loop/","strong"
"/products/wiremark/agent-handoff/","Declared page intent; confirm against editorial brief.","Pilot an agent workflow","button dark-button","/contact/genai/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/genai/","strong"
"/products/wiremark/canvas/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/wiremark/canvas/","Declared page intent; confirm against editorial brief.","Read the running-product essay ↗","text-link","/insights/the-running-product-is-the-brief/","Research or method path","early-stage","internal","https://hardmagic.com/insights/the-running-product-is-the-brief/","strong"
"/products/wiremark/canvas/","Declared page intent; confirm against editorial brief.","Ready to move Discuss a WireMark canvas pilot Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/wiremark/canvas/","Declared page intent; confirm against editorial brief.","Still framing the question Read the running-product essay Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/insights/the-running-product-is-the-brief/","Research or method path","early-stage","internal","https://hardmagic.com/insights/the-running-product-is-the-brief/","strong"
"/products/wiremark/canvas/","Declared page intent; confirm against editorial brief.","Discuss a WireMark canvas pilot","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/products/wiremark/privacy-provenance/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/wiremark/privacy-provenance/","Declared page intent; confirm against editorial brief.","Read the provenance essay ↗","text-link","/insights/provenance-without-killing-creative-flow/","Research or method path","early-stage","internal","https://hardmagic.com/insights/provenance-without-killing-creative-flow/","strong"
"/products/wiremark/privacy-provenance/","Declared page intent; confirm against editorial brief.","Ready to move Discuss WireMark deployment Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/wiremark/privacy-provenance/","Declared page intent; confirm against editorial brief.","Still framing the question Read the provenance essay Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/insights/provenance-without-killing-creative-flow/","Research or method path","early-stage","internal","https://hardmagic.com/insights/provenance-without-killing-creative-flow/","strong"
"/products/wiremark/privacy-provenance/","Declared page intent; confirm against editorial brief.","Discuss WireMark deployment","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/products/wiremark/source-intelligence/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/wiremark/source-intelligence/","Declared page intent; confirm against editorial brief.","Inspect the WireMark trace model ↗","text-link","/insights/the-running-product-is-the-brief/","Research or method path","early-stage","internal","https://hardmagic.com/insights/the-running-product-is-the-brief/","strong"
"/products/wiremark/source-intelligence/","Declared page intent; confirm against editorial brief.","Ready to move Discuss WireMark integration Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/wiremark/source-intelligence/","Declared page intent; confirm against editorial brief.","Still framing the question Inspect the WireMark trace model Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/insights/the-running-product-is-the-brief/","Research or method path","early-stage","internal","https://hardmagic.com/insights/the-running-product-is-the-brief/","strong"
"/products/wiremark/source-intelligence/","Declared page intent; confirm against editorial brief.","Discuss WireMark integration","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/responsible-ai/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/responsible-ai/","Declared page intent; confirm against editorial brief.","Read the provenance supply-chain brief ↗","text-link","/briefs/provenance-ready-content-supply-chain/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/provenance-ready-content-supply-chain/","strong"
"/responsible-ai/","Declared page intent; confirm against editorial brief.","Discuss governance","button dark-button","/contact/genai/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/genai/","strong"
"/security/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/security/","Declared page intent; confirm against editorial brief.","Review CLI security controls ↗","text-link","/products/cli/security/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/cli/security/","strong"
"/security/","Declared page intent; confirm against editorial brief.","Report a vulnerability","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/services/","Declared page intent; confirm against editorial brief.","Compare services ↗","text-link","/methods/","Research or method path","early-stage","internal","https://hardmagic.com/methods/","strong"
"/services/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/services/","Declared page intent; confirm against editorial brief.","Ready to move Discuss an engagement Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/services/","Declared page intent; confirm against editorial brief.","Still framing the question Compare services Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/","Research or method path","early-stage","internal","https://hardmagic.com/methods/","strong"
"/services/","Declared page intent; confirm against editorial brief.","Discuss an engagement","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/services/brand-systems/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/services/brand-systems/","Declared page intent; confirm against editorial brief.","Ready to move Build a brand system Use the relevant intake or engagement route.","enterprise-cta-option","/engagements/fractional-creative-office/","Specific engagement solution","early-stage","internal","https://hardmagic.com/engagements/fractional-creative-office/","strong"
"/services/brand-systems/","Declared page intent; confirm against editorial brief.","Review brand-memory principles ↗","text-link","/methods/brand-memory/","Research or method path","early-stage","internal","https://hardmagic.com/methods/brand-memory/","strong"
"/services/brand-systems/","Declared page intent; confirm against editorial brief.","Still framing the question Review brand-memory principles Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/brand-memory/","Research or method path","early-stage","internal","https://hardmagic.com/methods/brand-memory/","strong"
"/services/brand-systems/","Declared page intent; confirm against editorial brief.","Build a brand system","button dark-button","/engagements/fractional-creative-office/","Specific engagement solution","primary","internal","https://hardmagic.com/engagements/fractional-creative-office/","strong"
"/services/brand-systems/","Declared page intent; confirm against editorial brief.","Read Horizon 2035","button ghost","horizon/","Research or method path","primary","internal","https://hardmagic.com/horizon/","strong"
"/services/campaign-production/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/services/campaign-production/","Declared page intent; confirm against editorial brief.","Explore Studio production ↗","text-link","/products/studio/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/studio/","strong"
"/services/campaign-production/","Declared page intent; confirm against editorial brief.","Ready to move Plan a campaign Use the relevant intake or engagement route.","enterprise-cta-option","/engagements/product-launch-room/","Specific engagement solution","early-stage","internal","https://hardmagic.com/engagements/product-launch-room/","strong"
"/services/campaign-production/","Declared page intent; confirm against editorial brief.","Still framing the question Explore Studio production Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/products/studio/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/studio/","strong"
"/services/campaign-production/","Declared page intent; confirm against editorial brief.","Plan a campaign","button dark-button","/engagements/product-launch-room/","Specific engagement solution","primary","internal","https://hardmagic.com/engagements/product-launch-room/","strong"
"/services/campaign-production/","Declared page intent; confirm against editorial brief.","Read Horizon 2035","button ghost","horizon/","Research or method path","primary","internal","https://hardmagic.com/horizon/","strong"
"/services/content-operations/","Declared page intent; confirm against editorial brief.","Audit the workflow ↗","text-link","/methods/evidence-loop/","Research or method path","early-stage","internal","https://hardmagic.com/methods/evidence-loop/","strong"
"/services/content-operations/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/services/content-operations/","Declared page intent; confirm against editorial brief.","Ready to move Redesign content operations Use the relevant intake or engagement route.","enterprise-cta-option","/engagements/managed-media-desk/","Specific engagement solution","early-stage","internal","https://hardmagic.com/engagements/managed-media-desk/","strong"
"/services/content-operations/","Declared page intent; confirm against editorial brief.","Still framing the question Audit the workflow Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/evidence-loop/","Research or method path","early-stage","internal","https://hardmagic.com/methods/evidence-loop/","strong"
"/services/content-operations/","Declared page intent; confirm against editorial brief.","Redesign content operations","button dark-button","/engagements/managed-media-desk/","Specific engagement solution","primary","internal","https://hardmagic.com/engagements/managed-media-desk/","strong"
"/services/creative-direction/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/services/creative-direction/","Declared page intent; confirm against editorial brief.","Read the creative-direction brief ↗","text-link","/briefs/creative-direction-after-the-prompt/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/creative-direction-after-the-prompt/","strong"
"/services/creative-direction/","Declared page intent; confirm against editorial brief.","Ready to move Request creative direction Use the relevant intake or engagement route.","enterprise-cta-option","/contact/creative-direction/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/creative-direction/","strong"
"/services/creative-direction/","Declared page intent; confirm against editorial brief.","Still framing the question Read the creative-direction brief Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/briefs/creative-direction-after-the-prompt/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/creative-direction-after-the-prompt/","strong"
"/services/creative-direction/","Declared page intent; confirm against editorial brief.","Read Horizon 2035","button ghost","horizon/","Research or method path","primary","internal","https://hardmagic.com/horizon/","strong"
"/services/creative-direction/","Declared page intent; confirm against editorial brief.","Request creative direction","button dark-button","/contact/creative-direction/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/creative-direction/","strong"
"/services/creative-technology/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/services/creative-technology/","Declared page intent; confirm against editorial brief.","Explore the products ↗","text-link","/products/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/","strong"
"/services/creative-technology/","Declared page intent; confirm against editorial brief.","Ready to move Propose a prototype Use the relevant intake or engagement route.","enterprise-cta-option","/engagements/transformation-sprint/","Specific engagement solution","early-stage","internal","https://hardmagic.com/engagements/transformation-sprint/","strong"
"/services/creative-technology/","Declared page intent; confirm against editorial brief.","Still framing the question Explore the products Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/products/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/","strong"
"/services/creative-technology/","Declared page intent; confirm against editorial brief.","Propose a prototype","button dark-button","/engagements/transformation-sprint/","Specific engagement solution","primary","internal","https://hardmagic.com/engagements/transformation-sprint/","strong"
"/services/executive-advisory/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/services/executive-advisory/","Declared page intent; confirm against editorial brief.","Ready to move Request an advisory session Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/services/executive-advisory/","Declared page intent; confirm against editorial brief.","Still framing the question Use the intent-to-system method Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/intent-to-system/","Research or method path","early-stage","internal","https://hardmagic.com/methods/intent-to-system/","strong"
"/services/executive-advisory/","Declared page intent; confirm against editorial brief.","Use the intent-to-system method ↗","text-link","/methods/intent-to-system/","Research or method path","early-stage","internal","https://hardmagic.com/methods/intent-to-system/","strong"
"/services/executive-advisory/","Declared page intent; confirm against editorial brief.","Request an advisory session","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/services/genai-strategy/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/services/genai-strategy/","Declared page intent; confirm against editorial brief.","Read the GenAI operating brief ↗","text-link","/briefs/generative-media-operating-system/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/generative-media-operating-system/","strong"
